Match_addr,X,Y,School_Nam,ESD,SD,County,School_Typ,School_T_1,ODE_Instit,Address,City_1,State,Site_Zipco,Site_Zip_1,Mail_Addre,Mail_City,Mail_State,Mail_Zipco,Mail_Zip_1,Phone_1,Phone_Fax,Email,Website,Participation2017,Participation2018,2017 Provider,Provider2018,2017 Grade,Grade 2018,2017 Students,Sudents 2018,2017 Days,Days 2018,Nights 2017,Nights 2018,2017 Actual Funds Per Student,2018 Actual Funds Per Student,2017 Total Funds,2018 Total Funds,Senate Districts,House Districts
"3606 SE Lake Rd, Portland, Oregon, 97222",-122.626372,45.43289598,Wilbur Rowe Middle School,Clackamas,North Clackamas SD 12,Clackamas,Middle,Regular School,84,3606 SE Lake Rd,Milwaukie,OR,97222,6999,3606 SE Lake Rd,Milwaukie,OR,97222,6999,503-353-5725,503-353-5740,harrisgr@nclack.k12.or.us,http://www.nclack.k12.or.us/Domain/1333,1,Yes,"Cedar Ridge, Trickle Creek, Westwind", ,6th,6th,224,233,4,4,3,3,233.8,243.44,52371.2,56721.52,State Senate District 21,State House District 41
"5109 SE 66th Ave, Portland, Oregon, 97206",-122.5957141,45.48623867,Arleta K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,826,5109 SE 66th Ave,Portland,OR,97206,4599,5109 SE 66th Ave,Portland,OR,97206,4599,503-916-6330,503-916-2604,sjones3@pps.net,http://www.pps.k12.or.us/schools/arleta,1,Yes,"Arrah Wanna, Howard", ,6th,6th,39,61,6,6,5,5,416.04,556.28,16225.56,33933.08,State Senate District 23,State House District 46
"5800 SE Division St, Portland, Oregon, 97206",-122.604683,45.50532254,Atkinson Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,828,5800 SE Division St,Portland,OR,97206,1499,5800 SE Division St,Portland,OR,97206,1499,503-916-6333,503-916-2606,idibblee@pps.net,http://www.pps.k12.or.us/schools/atkinson,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 23,State House District 46
"7910 SE Market St, Portland, Oregon, 97215",-122.5818824,45.51077966,Bridger K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,834,7910 SE Market St,Portland,OR,97215,3656,7910 SE Market St,Portland,OR,97215,3656,503-916-6336,503-916-2612,lpoole@pps.net,http://www.pps.k12.or.us/schools/bridger,1,Yes,"Arrah Wanna, Namanu", ,6th,6th,35,44,6,6,5,5,416.04,556.28,14561.4,24476.32,State Senate District 23,State House District 46
"1930 SE 104th Ave, Portland, Oregon, 97216",-122.554859,45.50900601,Cherry Park Elementary School,Multnomah,David Douglas SD 40,Multnomah,Elementary,Regular School,972,1930 SE 104th Ave,Portland,OR,97216,3067,1930 SE 104th Ave,Portland,OR,97216,3067,503-256-6501,503-261-8428,kate_barker@ddouglas.k12.or.us,http://cp.ddouglas.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 23,State House District 46
"1231 SE 92nd Ave, Portland, Oregon, 97216",-122.5691611,45.51367888,Creative Science School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,4640,1231 SE 92nd Ave,Portland,OR,97216,0,1231 SE 92nd Ave,Portland,OR,97216,0,503-916-6431,503-916-2620,klindholm@pps.net,http://www.pps.k12.or.us/schools/creativescience,1,Yes,"Arrah Wanna, Canby Grove", ,6th,6th,56,56,6,6,5,5,486.04,556.28,27218.24,31151.68,State Senate District 23,State House District 46
"10822 SE Bush St, Portland, Oregon, 97266",-122.552011,45.49410999,Earl Boyles Elementary,Multnomah,David Douglas SD 40,Multnomah,Elementary,Regular School,3525,10822 SE Bush,Portland,OR,97266,1734,10822 SE Bush,Portland,OR,97266,1734,503-256-6554,503-261-8437,ericka_guynes@ddouglas.k12.or.us,http://eb.ddouglas.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 23,State House District 46
"825 SE 51st Ave, Portland, Oregon, 97215",-122.6104071,45.51717497,Glencoe Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,850,825 SE 51st Ave,Portland,OR,97215,1785,825 SE 51st Ave,Portland,OR,97215,1785,503-916-6207,503-916-2628,lclark@pps.net,http://www.pps.k12.or.us/schools/glencoe,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 23,State House District 46
"2225 SE 87th Ave, Portland, Oregon, 97216",-122.5742697,45.50703941,Harrison Park K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,842,2225 SE 87th Ave,Portland,OR,97216,2099,2225 SE 87th Ave,Portland,OR,97216,2099,503-916-5700,503-916-2610,jwalden@pps.net,http://www.pps.k12.or.us/schools/harrisonpark,1,Yes,"Angelos/SR, Canby Grove, Howard", ,6th,6th,60,73,6,6,5,5,486.04,556.28,29162.4,40608.44,State Senate District 23,State House District 46
"840 NE 41st Ave, Portland, Oregon, 97232",-122.619384,45.529196,Laurelhurst K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Supplemental Virtual,868,840 NE 41st Ave,Portland,OR,97232,2698,840 NE 41st Ave,Portland,OR,97232,2698,503-916-6210,503-916-2649,sflamoe@pps.net,http://www.pps.k12.or.us/schools/laurelhurst,1,Yes,"Angelos/SR, Canby Grove, Namanu", ,6th,6th,75,72,6,6,5,5,416.04,556.28,31203,40052.16,State Senate District 23,State House District 46
"7733 SE Raymond St, Portland, Oregon, 97206",-122.5834859,45.48661636,Marysville K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Supplemental Virtual,875,7733 SE Raymond St,Portland,OR,97206,4299,7733 SE Raymond St,Portland,OR,97206,4299,503-916-6363,503-916-2656,lpanley@pps.net,http://www.pps.k12.or.us/schools/marysville,1,Yes,Howard, ,6th,6th,34,30,6,6,5,5,416.04,556.28,14145.36,16688.4,State Senate District 23,State House District 46
"5800 SE Ash St, Portland, Oregon, 97215",-122.6040325,45.52159274,Mt Tabor Middle School,Multnomah,Portland SD 1J,Multnomah,Middle,Regular School,877,5800 SE Ash St,Portland,OR,97215,1293,5800 SE Ash St,Portland,OR,97215,1293,503-916-5646,503-916-2659,osbornr@pps.net,http://www.pps.k12.or.us/schools/mttabor,1,Yes,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th,6th,213,258,6,6,5,5,486.04,556.28,103526.52,143520.24,State Senate District 23,State House District 46
"7507 SE Yamhill St, Portland, Oregon, 97215",-122.586071,45.51697498,Portland Arthur Academy Charter School,Multnomah,Portland SD 1J,Multnomah,Elementary,Charter,4400,7507 SE Yamhill St,Portland,OR,97215,0,13717 SE Division St,Portland,OR,97236,0,503-257-3936,<Null>,smccool@arthuracademy.org,http://www.arthuracademy.org,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 23,State House District 46
"3955 SE 112th Ave, Portland, Oregon, 97266",-122.54952,45.49411799,Ron Russell Middle School,Multnomah,David Douglas SD 40,Multnomah,Middle,Regular School,4232,3955 SE 112th Ave,Portland,OR,97266,1734,3955 SE 112th Ave,Portland,OR,97266,1734,503-256-6519,503-761-7246,andrew_long@ddouglas.k12.or.us,http://rrms.ddouglas.k12.or.us/,1,No,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th, ,268,0,3,0,2,0,208.23,0,55805.64,0,State Senate District 23,State House District 46
"161 NE 82nd Ave, Portland, Oregon, 97220",-122.5790875,45.52459199,Vestal Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,896,161 NE 82nd Ave,Portland,OR,97220,6004,161 NE 82nd Ave,Portland,OR,97220,6004,503-916-6437,503-916-2679,eglasgow@pps.net,http://www.pps.k12.or.us/schools/vestal,1,No,Canby Grove, ,6th, ,29,0,6,0,5,0,416.04,0,12065.16,0,State Senate District 23,State House District 46
"1615 SW 35th St, Corvallis, Oregon, 97333",-123.2895614,44.55204002,Adams Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,27,1615 SW 35th St,Corvallis,OR,97333,1197,1615 SW 35th St,Corvallis,OR,97333,1197,541-757-5938,541-757-4586,byron.bethards@corvallis.k12.or.us,http://www.csd509j.net/adams/,1,Yes,Camp Gray,OMSI,5th,5th,83,72,3,3,2,2,227.36,248.01,18870.88,17856.72,State Senate District 8,State House District 16
"987 NE Conifer Blvd, Corvallis, Oregon, 97330",-123.2374394,44.60003744,Cheldelin Middle School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Middle,Regular School,28,987 Conifer Blvd NE,Corvallis,OR,97330,4099,987 Conifer Blvd NE,Corvallis,OR,97330,4099,541-757-5971,541-757-4596,jeff.brew@corvallis.k12.or.us,https://cheldelin.csd509j.net/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 8,State House District 16
"535 S 19th St, Philomath, Oregon, 97370",-123.3590374,44.53606252,Clemens Primary School,Linn Benton Lincoln,Philomath SD 17J,Benton,Elementary,Regular School,3162,535 S 19th St,Philomath,OR,97370,9516,535 S 19th St,Philomath,OR,97370,9516,541-929-2082,541-929-2536,cindy.golston@philomath.k12.or.us,http://www.philomath.k12.or.us/schools/cps/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 8,State House District 16
"750 NW 18th St, Corvallis, Oregon, 97330",-123.2727819,44.57468545,Franklin K-8 School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,1322,750 NW 18th St,Corvallis,OR,97330,0,750 NW 18th St,Corvallis,OR,97330,0,541-757-5747,541-757-5766,bryan.traylor@corvallis.k12.or.us,http://schools.csd509j.net/franklin/,1,Yes,Camp Gray,OMSI,5th,5th,30,31,3,3,2,2,220.23,231.94,6606.9,7190.14,State Senate District 8,State House District 16
"1205 NW Garfield Ave, Corvallis, Oregon, 97330",-123.2647403,44.5831075,Garfield Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,30,1205 NW Garfield Ave,Corvallis,OR,97330,2057,1205 NW Garfield Ave,Corvallis,OR,97330,2057,541-757-5941,541-757-4588,leigh.santy@corvallis.k12.or.us,http://www.csd509j.net/garfield/,1,Yes,Camp Gray,OMSI,5th,5th,53,62,3,3,2,2,247.55,255.46,13120.15,15838.52,State Senate District 8,State House District 16
"3838 NW Walnut Blvd, Corvallis, Oregon, 97330",-123.2925002,44.59314248,Hoover Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,33,3838 NW Walnut Blvd,Corvallis,OR,97330,3499,3838 NW Walnut Blvd,Corvallis,OR,97330,3499,541-757-5958,541-757-4590,annamarie.gosser@corvallis.k12.or.us,http://www.csd509j.net/hoover/,1,Yes,Camp Gray, ,5th,5th,74,73,3,3,2,2,242.76,245.58,17964.24,17927.34,State Senate District 8,State House District 16
"1825 NW 27th St, Corvallis, Oregon, 97330",-123.2810914,44.58564956,Jefferson Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,35,1825 NW 27th St,Corvallis,OR,97330,1993,1825 NW 27th St,Corvallis,OR,97330,1993,541-757-5951,541-757-4592,melissa.harder@corvallis.k12.or.us,https://jefferson.csd509j.net/,1,Yes,Outdoor Science School at Hancock Field Station, ,5th,5th,62,70,3,3,2,2,256.49,324.42,15902.38,22709.4,State Senate District 8,State House District 16
"110 SE Alexander Ave, Corvallis, Oregon, 97333",-123.26513,44.54519246,Lincoln Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,36,110 SE Alexander Ave,Corvallis,OR,97333,1999,110 SE Alexander Ave,Corvallis,OR,97333,1999,541-757-5955,541-757-4593,aaron.hale@corvallis.k12.or.us,https://schools.csd509j.net/lincoln,1,Yes,Camp Gray, ,5th,5th,63,57,3,3,2,2,235.15,285.54,14814.45,16275.78,State Senate District 8,State House District 16
"1111 NW Cleveland Ave, Corvallis, Oregon, 97330",-123.2639102,44.58588753,Linus Pauling Middle School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Middle,Regular School,38,1111 NW Cleveland Ave,Corvallis,OR,97330,2063,1111 NW Cleveland Ave,Corvallis,OR,97330,2063,541-757-5961,541-757-4598,alicia.ward-satey@corvallis.k12.or.us,http://www.lpms.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 8,State House District 16
"239 S 16th St, Philomath, Oregon, 97370",-123.3633934,44.53822212,Philomath Elementary School,Linn Benton Lincoln,Philomath SD 17J,Benton,Elementary,Supplemental Virtual,20,239 S 16th St,Philomath,OR,97370,9422,239 S 16th St,Philomath,OR,97370,9422,541-929-3253,541-929-3281,susan.halliday@philomath.k12.or.us,http://www.philomath.k12.or.us/schools/pes/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 8,State House District 16
"2021 Chapel Dr, Philomath, Oregon, 97370",-123.356196,44.53491202,Philomath Middle School,Linn Benton Lincoln,Philomath SD 17J,Benton,Middle,Supplemental Virtual,21,2021 Chapel Dr,Philomath,OR,97370,9559,2021 Chapel Dr,Philomath,OR,97370,9559,541-929-3167,541-929-3180,steve.bell@philomath.k12.or.us,http://www.philomath.k12.or.us/schools/pms/,1,Yes,Camp Tadmor, ,6th,6th,115,106,5,5,4,4,363.63,395.98,41817.45,41973.88,State Senate District 8,State House District 16
"2701 NW Satinwood St, Corvallis, Oregon, 97330",-123.2573415,44.59412187,Wilson Elementary School,Linn Benton Lincoln,Corvallis SD 509J,Benton,Elementary,Regular School,39,2701 NW Satinwood St,Corvallis,OR,97330,3829,2701 NW Satinwood,Corvallis,OR,97330,3829,541-757-5987,541-757-4595,eric.beasley@corvallis.k12.or.us,http://schools.csd509j.net/wilson/,1,Yes,Outdoor Science School at Hancock Field Station, ,5th,5th,77,90,5,5,4,4,434.11,332.53,33426.47,29927.7,State Senate District 8,State House District 16
"1501 E Jackson St, Medford, Oregon, 97504",-122.853457,42.33188098,Hedrick Middle School,Southern OR,Medford SD 549C,Jackson,Junior High,Regular School,421,1501 E Jackson St,Medford,OR,97504,7091,1501 E Jackson St,Medford,OR,97504,7091,541-842-3700,541-842-1548,beth.anderson@medford.k12.or.us,http://www.medford.k12.or.us,0,Yes, , , ,6th,0,99,0,3,0,2,0,186.11,0,18424.89,State Senate District 3,State House District 6
"2323 Siskiyou Blvd, Medford, Oregon, 97504",-122.8392273,42.3201143,Hoover Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,409,2323 Siskiyou Blvd,Medford,OR,97504,8166,2323 Siskiyou Blvd,Medford,OR,97504,8166,541-842-3750,541-842-1874,lynn.cataldo@medford.k12.or.us,http://www.medford.k12.or.us,1,No,Unsure, ,5th, ,128,0,3,0,2,0,111.65,0,14291.2,0,State Senate District 3,State House District 6
"286 Mace Rd, Medford, Oregon, 97501",-122.891002,42.35825255,Howard Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,410,286 Mace Rd,Medford,OR,97501,1280,286 Mace Rd,Medford,OR,97501,1280,541-842-3760,541-842-3010,javier.delrio@medford.k12.or.us,http://www.medford.k12.or.us,1,Yes,Siskiyou Field Institute, ,6th,6th,57,54,3,4,2,2,109.73,212.23,6254.61,11460.42,State Senate District 3,State House District 6
"713 Summit Ave, Medford, Oregon, 97501",-122.8868322,42.33169155,Jackson Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,411,713 Summit Ave,Medford,OR,97504,1325,713 Summit Ave,Medford,OR,97502,1325,541-842-3770,541-842-3083,kelly.soter@medford.k12.or.us,http://www.medford.k12.or.us,1,Yes,Unsure, ,6th,6th,43,29,3,2,2,1,160.47,280.08,6900.21,8122.32,State Senate District 3,State House District 6
"2860 N Keene Way Dr, Medford, Oregon, 97504",-122.85179,42.35838498,Kennedy Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,416,2860 N Keene Way Dr,Medford,OR,97504,4955,2860 N Keene Way Dr,Medford,OR,97504,4955,541-842-3810,541-842-3265,tom.ettel@medford.k12.or.us,http://www.medford.k12.or.us,0,Yes, , , ,6th,0,37,0,3,0,2,0,230.89,0,8542.93,State Senate District 3,State House District 6
"821 N Riverside Ave, Medford, Oregon, 97501",-122.874907,42.33513702,Kids Unlimited Academy,Southern OR,Medford SD 549C,Jackson,Elementary,Charter,5205,821 N Riverside Ave,Medford,OR,97501,0,821 N Riverside Ave,Medford,OR,97501,0,541-774-3900,541-245-6261,leccleston@kuoregon.org,http://kuoregon.org,0,Yes, , , ,6th,0,44,0,3,0,2,0,301,0,13244,State Senate District 3,State House District 6
"400 Earhart St, Medford, Oregon, 97501",-122.8641988,42.32122021,Logos Public Charter School,Southern OR,Medford SD 549C,Jackson,Combined,Supplemental Virtual,4821,400 Earhart,Medford,OR,97501,0,400 Earhart,Medford,OR,97501,0,541-842-3658,541-842-1927,jvondo@logoscharter.com,http://www.logoscharter.com,1,Yes,Newport Oregon, ,6th,6th,30,39,5,5,4,4,491.15,380.94,14734.5,14856.66,State Senate District 3,State House District 6
"3158 Lone Pine Rd, Medford, Oregon, 97504",-122.832276,42.34557253,Lone Pine Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,414,3158 Lone Pine Rd,Medford,OR,97504,5629,3158 Lone Pine Rd,Medford,OR,97504,5629,541-842-3820,541-842-3319,kristi.anderson@medford.k12.or.us,http://www.medford.k12.or.us,1,Yes,Siskiyou Field Institute, ,6th,6th,62,76,2,3,1,2,88.51,191.84,5487.62,14579.84,State Senate District 3,State House District 6
"320 W 2nd St, Medford, Oregon, 97501",-122.880694,42.32908202,McLoughlin Middle School,Southern OR,Medford SD 549C,Jackson,Junior High,Regular School,422,320 W Second St,Medford,OR,97501,2515,320 W Second St,Medford,OR,97501,2515,541-842-3720,541-842-1652,linda.white@medford.k12.or.us,http://www.medford.k12.or.us,0,Yes, , , ,6th,0,60,0,3,0,2,0,241.5,0,14490,State Senate District 3,State House District 6
"1212 Queen Anne Ave, Medford, Oregon, 97504",-122.8573,42.33026252,Roosevelt Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,417,1212 Queen Anne Ave,Medford,OR,97504,8166,1212 Queen Anne Ave,Medford,OR,97504,8166,541-842-3840,541-842-1874,isis.contreras@medford.k12.or.us,http://www.medford.k12.or.us,0,Yes, , ,6th,6th,0,62,0,3,0,0,85.34,90,0,5580,State Senate District 3,State House District 6
"1253 N Riverside Ave, Medford, Oregon, 97501",-122.8766164,42.33925132,The Valley School of Southern Oregon,Southern OR,Medford SD 549C,Jackson,Middle,Charter,5304,1253 N Riverside Ave,Medford,OR,97501,0,PO Box 1225,Medford,OR,97501,0,541-613-3306,<Null>,info@thevalleyschool.education,http://thevalleyschool.k12.or.us/,1,Yes,OMSI -Camp Grey, ,6th,6th,33,40,3,3,2,2,131.83,140.84,4350.39,5633.6,State Senate District 3,State House District 6
"610 S Peach St, Medford, Oregon, 97501",-122.8826595,42.31700457,Washington Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,419,610 S Peach St,Medford,OR,97501,3310,610 S Peach St,Medford,OR,97501,3310,541-842-3860,541-842-3520,sallie.johnson@medford.k12.or.us,http://www.medford.k12.or.us,1,Yes,unsure, ,6th,6th,60,61,3,3,3,0,53.26,79.53,3195.6,4851.33,State Senate District 3,State House District 6
"1400 Johnson St, Medford, Oregon, 97504",-122.8666236,42.34566666,Wilson Elementary School,Southern OR,Medford SD 549C,Jackson,Elementary,Regular School,420,1400 Johnson St,Medford,OR,97504,5227,1400 Johnson St,Medford,OR,97504,5227,541-842-3870,541-842-3575,gerry.flock@medford.k12.or.us,http://www.medford.k12.or.us,0,Yes, , , ,6th,0,50,0,3,0,1,0,79.5,0,3975,State Senate District 3,State House District 6
"815 S Nehalem St, Clatskanie, Oregon, 97016",-123.2074888,46.09889301,Clatskanie Elementary School,Northwest Regional,Clatskanie SD 6J,Columbia,Elementary,Regular School,163,815 S Nehalem St,Clatskanie,OR,97016,0,PO Box 327,Clatskanie,OR,97016,327,503-728-2191,503-728-2840,bthorud@csd.k12.or.us,http://www.csd.k12.or.us/,1,Yes,Outdoor Science School at Hancock Field Station,OMSI,6th,6th,46,48,3,3,2,2,230,242.16,10580,11623.68,State Senate District 16,State House District 31
"2000 2nd St, Columbia City, Oregon, 97018",-122.8095526,45.89163448,Columbia City Elementary School,Northwest Regional,St Helens SD 502,Columbia,Elementary,Regular School,179,2000 Second St,Columbia City,OR,97018,0,2000 Second St,Columbia City,OR,97018,0,<Null>,<Null>,<Null>,<Null>,1,Yes,Cedar Ridge - Vernonia, ,6th,6th,38,39,3,5,2,4,183.84,300.11,6985.92,11704.29,State Senate District 16,State House District 31
"52000 SE 3rd Pl, Scappoose, Oregon, 97056",-122.8724691,45.75045364,Grant Watts Elementary School,Northwest Regional,Scappoose SD 1J,Columbia,Elementary,Regular School,158,52000 SE Third Pl,Scappoose,OR,97056,3801,52000 SE Third Pl,Scappoose,OR,97056,3801,971-200-8002,503-543-6373,dlarson@scappoose.k12.or.us,http://www.scappoose.k12.or.us/node/1256,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"28176 Old Rainier Rd, Rainier, Oregon, 97048",-122.9864376,46.09429123,Hudson Park Elementary School,Northwest Regional,Rainier SD 13,Columbia,Elementary,Regular School,171,28176 Old Rainier Rd,Rainier,OR,97048,3017,28176 Old Rainier Rd,Rainier,OR,97048,3017,503-556-0196,503-556-8212,heidi_blakley@rsd.k12.or.us,http://www.rainier.k12.or.us,1,Yes,"Cisus/ Randall, WA", ,6th,6th,68,60,5,5,4,4,293.46,332.32,19955.28,19939.2,State Senate District 16,State House District 31
"111 S 9th St, Saint Helens, Oregon, 97051",-122.8068943,45.86217637,Lewis & Clark Elementary School,Northwest Regional,St Helens SD 502,Columbia,Elementary,Regular School,3569,111 S 9th St,St Helens,OR,97051,1908,111 S 9th St,St Helens,OR,97051,1908,503-366-7603,503-366-7656,cathyc@sthelens.k12.or.us,http://www.sthelens.k12.or.us/Domain/351,1,Yes,Cedar Ridge - Vernonia, ,6th,6th,60,68,3,5,2,4,186,312.3,11160,21236.4,State Senate District 16,State House District 31
"2774 Columbia Blvd, Saint Helens, Oregon, 97051",-122.8377376,45.85488701,McBride Elementary School,Northwest Regional,St Helens SD 502,Columbia,Elementary,Regular School,182,2774 Columbia Blvd,St Helens,OR,97051,2727,2774 Columbia Blvd,St Helens,OR,97051,2727,503-366-7700,503-366-7706,lisar@sthelens.k12.or.us,http://www.sthelens.k12.or.us/Domain/432,1,Yes,Cedar Ridge - Vernonia, ,6th,6th,87,77,3,5,2,4,182.45,296,15873.15,22792,State Senate District 16,State House District 31
"69163 OR-47, Clatskanie, Oregon, 97016",-123.2511197,46.00005481,Mist Elementary School,Northwest Regional,Vernonia SD 47J,Columbia,Elementary,Regular School,176,69163 Hwy 47,Mist,OR,97016,7203,69163 Hwy 47,Mist,OR,97016,7203,503-755-2486,503-755-2213,amiller@vernonia.k12.or.us,http://ww.vernonia.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"52050 SE 3rd Pl, Scappoose, Oregon, 97056",-122.872535,45.75095596,Otto Petersen Elementary School,Northwest Regional,Scappoose SD 1J,Columbia,Elementary,Regular School,159,52050 SE 3rd St,Scappoose,OR,97056,3249,52050 SE 3rd St,Scappoose,OR,97056,3249,971-200-8003,503-543-7120,whessong@scappoose.k12.or.us,http://ope.scappoose.k12.or.us,1,Yes,Cedar Ridge, ,6th,6th,132,175,3,4,2,3,191.5,256.31,25278,44854.25,State Senate District 16,State House District 31
"7775 NW Kaiser Rd, Portland, Oregon, 97229",-122.837555,45.57602201,Sato Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,5382,7775 NW Kaiser Rd,Portland,OR,97229,0,7775 NW Kaiser Rd,Portland,OR,97229,0,503-356-2531,503-356-2535,cheryl_hagseth@beaverton.k12.or.us,https://www.beaverton.k12.or.us/schools/sato/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"14445 NW Charlton Rd, Portland, Oregon, 97231",-122.8264562,45.65533116,Sauvie Island School,Multnomah,Reynolds SD 7,Multnomah,Elementary,Charter,958,14445 NW Charlton Rd,Portland,OR,97231,1402,14445 NW Charlton Rd,Portland,OR,97231,1402,503-621-3426,503-621-3384,dmeeuwsen@sauvieislandacademy.org,http://www.sauvieislandacademy.org/,1,Yes,Camp Westwind, ,6th,6th,17,23,4,4,3,3,266.74,305.67,4534.58,7030.41,State Senate District 16,State House District 31
"52265 Columbia River Hwy, Scappoose, Oregon, 97056",-122.8777691,45.75389668,Scappoose Middle School,Northwest Regional,Scappoose SD 1J,Columbia,Middle,Regular School,161,52265 Columbia River Hwy,Scappoose,OR,97056,3598,52265 Columbia River Hwy,Scappoose,OR,97056,3598,503-543-7163,503-543-7917,ralley@scappoose.k12.or.us,http://www.scappoose.k12.or.us/taxonomy/term/28,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"11536 NW Skyline Blvd, Portland, Oregon, 97231",-122.8570712,45.60694025,Skyline School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,890,11536 NW Skyline Blvd,Portland,OR,97231,2603,11536 NW Skyline Blvd,Portland,OR,97231,2603,503-916-5212,503-916-2765,szabel@pps.net,http://www.pps.k12.or.us/schools/skyline,1,Yes,Arrah Wanna, ,6th,6th,40,32,6,6,5,5,416.04,556.28,16641.6,17800.96,State Senate District 16,State House District 31
"34555 Berg Rd, Warren, Oregon, 97053",-122.8558556,45.81272557,South Columbia Family School,Northwest Regional,Scappoose SD 1J,Columbia,Elementary,Charter,4221,34555 Berg Rd,Warren,OR,97053,0,33589 High School Way,Scappoose,OR,97056,0,503-366-9009,<Null>,subogen@gmail.com,http://www.scfschool.org,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"6655 NW Joss Ave, Portland, Oregon, 97229",-122.8503656,45.56784006,Springville K-8 School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,4712,6655 NW Joss Ave,Portland,OR,97229,0,6655 NW Joss Ave,Portland,OR,97229,0,503-356-2480,503-533-1927,cheryl_ames@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/springville/,1,Yes,Westwind, ,6th,6th,63,55,4,4,3,3,236.46,231.63,14896.98,12739.65,State Senate District 16,State House District 31
"354 N 15th St, Saint Helens, Oregon, 97051",-122.8155265,45.86351454,St Helens Middle School,Northwest Regional,St Helens SD 502,Columbia,Middle,Regular School,184,354 N 15th St,St Helens,OR,0,0, , , ,0,0, , , , , ,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
"33035 Pittsburg Rd, Saint Helens, Oregon, 97051",-122.8866999,45.86624754,St Helens-Yankton Authur Academy,Northwest Regional,St Helens SD 502,Columbia,Middle,Charter,4602,33035 Pittsburg Rd,St Helens,OR,97051,0,33035 Pittsburg Rd,St Helens,OR,97051,0,503-366-7030,<Null>,sthelensadmin@arthuracademy.org,http://www.arthuracademy.org,1,Yes,Namanu, ,6th,6th,20,22,6,6,5,5,457.35,486.26,9147,10697.72,State Senate District 16,State House District 31
"1000 Missouri Ave, Vernonia, Oregon, 97064",-123.1790519,45.85947414,Vernonia Elementary School,Northwest Regional,Vernonia SD 47J,Columbia,Elementary,Regular School,177,1000 Missouri Ave,Vernonia,OR,97064,0,1000 Missouri Ave,Vernonia,OR,97064,0,503-429-1333,503-429-0588,amiller@vernonia.k12.or.us,http://www.vernonia.k12.or.us/node/256,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 16,State House District 31
